instance,customer_num,routes_used_number,distance_all,execution_time,random_seed
R112,100,12,1122.92,129.675,102
R112,50,9,751.585,36.389,102
R112,25,4,420.937,12.898,102
R201,100,13,1413.23,125.916,102
R201,50,8,866.779,35.735,102
R201,25,4,487.867,12.111,102
R202,100,10,1247.07,137.561,102
R202,50,7,765.092,37.947,102
R202,25,4,434.387,13.071,102
R203,100,8,1086.44,174.271,102
R203,50,6,712.189,44.803,102
R203,25,3,421.554,14.898,102
R204,100,5,940.496,232.347,102
R204,50,5,620.115,59.883,102
R204,25,3,370.148,15.836,102
R205,100,12,1301.68,126.696,102
R205,50,9,816.772,35.574,102
R205,25,4,424.113,12.478,102
R206,100,10,1155.21,139.001,102
R206,50,6,736.746,37.832,102
R206,25,4,399.398,13.08,102
R207,100,11,1127.16,173.478,102
R207,50,6,665.143,44.45,102
R207,25,3,368.139,14.887,102
R208,100,6,888.435,231.819,102
R208,50,3,566.734,60.097,102
R208,25,2,337.162,15.625,102
R209,100,12,1185.7,132.139,102
R209,50,8,719.478,35.89,102
R209,25,3,414.323,11.996,102
R210,100,8,1155.94,128.837,102
R210,50,6,699.065,36.144,102
R210,25,3,443.412,12.466,102
R211,100,9,1066.23,133.061,102
R211,50,6,656.695,37.08,102
R211,25,3,377.226,12.244,102
R101,100,20,1725.84,122.792,103
R101,50,13,1064.38,36.192,103
R101,25,8,618.33,11.919,103
R102,100,20,1684.04,138.017,103
R102,50,13,1005.23,38.364,103
R102,25,7,555.438,12.437,103
R103,100,16,1490.99,172.201,103
R103,50,12,916.703,45.809,103
R103,25,6,464.825,14.859,103
R104,100,12,1163.21,226.468,103
R104,50,7,691.311,59.263,103
R104,25,5,441.098,16.741,103
R105,100,17,1515.52,123.464,103
R105,50,10,933.057,34.695,103
R105,25,6,531.804,12.486,103
R106,100,15,1459.81,138.167,103
R106,50,10,885.016,38.216,103
R106,25,5,495.777,12.868,103
R107,100,15,1365.17,172.868,103
R107,50,8,781.807,46.493,103
R107,25,5,447.182,14.414,103
R108,100,13,1211.1,225.706,103
R108,50,7,659.637,58.748,103
R108,25,5,405.474,16.126,103
R109,100,14,1293.8,124.681,103
R109,50,8,849.072,35.337,103
R109,25,5,448.157,12.309,103
R110,100,15,1284.58,128.361,103
R110,50,8,777.15,35.338,103
R110,25,5,455.442,12.785,103
R111,100,16,1393.49,128.002,103
R111,50,8,800.263,35.705,103
R111,25,5,440.048,12.518,103
R112,100,13,1191.63,130.105,103
R112,50,8,722.001,36.802,103
R112,25,4,398.825,12.505,103
R201,100,13,1345.45,124.232,103
R201,50,8,873.848,35.034,103
R201,25,4,499.158,12.188,103
R202,100,10,1277.59,137.823,103
R202,50,8,779.058,39.455,103
R202,25,3,444.496,12.494,103
R203,100,12,1217.98,174.413,103
R203,50,5,699.694,46.036,103
R203,25,3,410.64,14.045,103
R204,100,10,1023.19,235.159,103
R204,50,5,648.898,60.081,103
R204,25,2,363.809,16.122,103
R205,100,12,1266.38,127.787,103
R205,50,8,769.673,36.365,103
R205,25,3,408.085,12.388,103
R206,100,10,1153.66,139.826,103
R206,50,7,752.639,38.378,103
R206,25,3,396.543,13.448,103
R207,100,8,1023.03,175.504,103
R207,50,4,626.528,45.067,103
R207,25,3,386.118,14.463,103
R208,100,8,960.143,234.238,103
R208,50,6,582.844,59.564,103
R208,25,3,368.363,16.283,103
R209,100,13,1267.29,129.893,103
R209,50,6,662.082,36.518,103
R209,25,3,406.998,12.234,103
R210,100,10,1159.64,127.536,103
R210,50,6,695.645,36.548,103
R210,25,3,412.818,12.201,103
R211,100,11,1024.26,131.493,103
R211,50,6,657.331,36.508,103
R211,25,3,377.881,12.609,103
R101,100,23,1783.54,123.467,104
R101,50,13,1070.58,35.655,104
R101,25,7,618.33,12.225,104
R102,100,19,1685.54,134.024,104
R102,50,12,1005.04,37.729,104
R102,25,8,570.73,13.681,104
R103,100,17,1491.83,199.564,104
R103,50,10,881.816,53.137,104
R103,25,6,466.049,16.607,104
R104,100,16,1262.91,267.309,104
R104,50,6,695.337,69.145,104
R104,25,4,423.499,18.928,104
R105,100,16,1498.17,146.426,104
R105,50,11,932.052,41.76,104
R105,25,6,531.804,14.048,104
R106,100,15,1465.35,162.253,104
R106,50,9,858.786,45.062,104
R106,25,5,481.113,14.742,104
R107,100,15,1351.06,202.045,104
R107,50,9,784.037,54.383,104
R107,25,5,453.505,16.729,104
R108,100,13,1204.76,263.4,104
R108,50,8,707.687,69.658,104
R108,25,4,398.382,18.589,104
R109,100,15,1389.98,147.181,104
